,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
1074,1075,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1075,1076,RoomMaster,The Room staff,Staff Membership,Senior Leader,AL Staff,checked,male,,,214.0,,San Diego,United States of America,Education,,,None,,66.67,United States of America,US,,-100.4458825,39.7837304,North America
1076,1077,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,,male,,,214.0,,Nairobi,Kenya,Computer,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1077,1078,RoomMaster,Existing Room member,Free Trial,Senior Leader,Investor,checked,male,,,214.0,,Cape Town,South Africa,Financial,,,None,,66.67,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1078,1079,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,,,214.0,,,Senegal,,,,None,,55.56,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
1079,1080,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,,,366.0,,,Kenya,,,checked,Completed,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1080,1081,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,,,153.0,,Addis Ababa,Ethiopia,,,,,,55.56,Ethiopia,ET,AF,38.6521203,10.2116702,Africa
1081,1082,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Kenya,Insurance,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
1082,1083,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Corporate Partner,checked,female,,,153.0,,,Kenya,Environmental,,,Completed,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1083,1084,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,,Kenya,,,checked,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1084,1085,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Gaborone,Botswana,,,,Completed,,55.56,Botswana,BW,AF,24.5928742,-23.1681782,Africa
1085,1086,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,,,214.0,,Lagos,Nigeria,Insurance,,,Completed,,66.67,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1086,1087,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Los Angeles,United States of America,,,,Completed,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
1087,1088,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,,,214.0,,Nairobi,Kenya,Education,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
1088,1089,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,female,,,214.0,checked,Johannesburg,South Africa,,,checked,Completed,,72.22,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1089,1090,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,,,214.0,,Kampala,Uganda,,,,None,,61.11,Uganda,UG,AF,32.2166578,1.5333554,Africa
1090,1091,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,,male,,,214.0,,Brooklyn,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1091,1092,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,171.0,,Nairobi,Kenya,,,,#REF!,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1092,1093,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,,,184.0,,Addis Ababa,Ethiopia,,,,,,55.56,Ethiopia,ET,AF,38.6521203,10.2116702,Africa
1093,1094,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,,,214.0,,,Kenya,Education,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1094,1095,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
1095,1096,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,,20-30,214.0,,San Francisco,United States of America,Education,,,Completed,,72.22,United States of America,US,,-100.4458825,39.7837304,North America
1096,1097,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,,,366.0,,London,United Kingdom,,,,None,,61.11,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
1097,1098,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,,20-30,214.0,,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
1098,1099,RoomMaster,Existing Room member,Free Trial,,ALN,checked,male,,,171.0,,Welkom,,,,,Completed,,50.0,Unknown,,,,,
1099,1100,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,,,,,214.0,,Nairobi,Kenya,,,,None,,50.0,Kenya,KE,AF,38.4313975,1.4419683,Africa
1100,1101,RoomMaster,The Room Staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,30-40,153.0,,London,United Kingdom,,,,,,61.11,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
1101,1102,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,,,214.0,,Conakry;Dakar,Guinea,,,,None,,61.11,Guinea,GN,AF,-10.7083587,10.7226226,Africa
1102,1103,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,,,214.0,,,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1103,1104,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Lagos,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1104,1105,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,,female,,,214.0,,Accra,Ghana,,,,Completed,,55.56,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
1105,1106,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1106,1107,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,,,214.0,,Dakar,Senegal,,,,Completed,,61.11,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
1107,1108,RoomMaster,Joined post-Sprint - June,Staff Membership,Senior Leader,AL Staff,checked,male,,,153.0,,,Mauritius,Education,,,,,55.56,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
1108,1109,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,Pamplemousses,Mauritius,Education,,,None,,66.67,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
1109,1110,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Fontainebleau,France,Financial,,,None,,61.11,France,FR,EU,1.8883335,46.603354,Europe
1110,1111,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Chicago,United States of America,,,,None,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
1111,1112,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1112,1113,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1113,1114,RoomMaster,Existing Room member,Staff Membership,Senior Leader,AL Staff,checked,female,,50-60,214.0,,Munich,Germany,,,,Completed,,66.67,Germany,DE,EU,10.4234469,51.0834196,Europe
1114,1115,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Lagos,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1115,1116,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,School of Wildlife Conservation,checked,male,,,366.0,,Nairobi,Kenya,,,checked,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
